ErrorName,ErrorCode,Description,LogOnFailure,
InternalError,XX000,Postgres Internal error,true,
FeatureNotSupported,0A000,feature not supported,false,
EntityNotFound,42P01,table does not exist,false,
CardinalityViolation,21000,something returned the wrong number of rows,true,
InvalidTextRepresentation,22032,invalid json data: Should move this to MongoBadValue,false,
InvalidData,22P02,invalid text representation,false,
InvalidArgumentForNthValue,22016,invalid argument for Nth value,false,
DataException,22000,Unexpected data format e.g. dimension mismatch for pgvector indexes,false,
InvalidParameterValue,22023,invalid parameter value,false,
UniqueConstraintViolation,23505,unique constraint violation,false,
TableAlreadyExists,42P07,table already exists,false,
ExclusionConstraintViolation,23P01,exclusion constraint violation,false,
TooManyClients,53300,too many clients,true,
QueryCancelled,57014,request cancelled,true,
LockTimeout,55P03,lock timeout,false,
DeadlockDetected,40P01,deadlock detected,true,
ReadOnlyTransaction,25006,database is readonly,true,
WorkerConnectionError,08006,Nested connection failure,true,
InsufficientResources,53000,insufficient resources in the backend (shared_mem connections etc),true,
DiskFull,53100,insufficient resources in the backend (shared_mem connections etc),true,
OutOfMemory,53200,Backend reports out of memory,true,
DatabaseInStartUpShutDown,57P03,database is starting up or actively shutting down,true,
ProgramLimitExceeded,54000,program limit exceeded (index term limits for RUM),false,
TooManyColumns,54011,built in limits for too many columns requested,false,
ObjectNotInPreRequisiteState,55000,object_not_in_prerequisite_state (e.g. lost connection to parallel worker for parallel scans),true,
InsufficientPrivilege,42501,the user does not have the privileges to perform this operation,true,
DuplicateColumn,42701,duplicate column,false,
RoleDoesNotExist,42704,role does not exist,false,
SerializationFailure,40001,Serialization failure on apply,true,
InFailedTransactionState,25P02,The transaction currently is in a failed state,false,
AdminShutdown,57P01,The database was shutdown by an admin,true,
DuplicateObject,42710,object already exists,false,
InvalidPassword,28P01,The password is invalid,false,
InvalidGrantOperation,0LP01,Invalid grant operation,false,
ApiErrorCodeNewMin,M0000,Smallest value of the new helio backend error,false,
ApiErrorCodeNewMax,M1000,Largest value of the the new helio backend error,false,
NumericValueOutOfRange,22003,Numeric value out of range e.g. too large for half vector,false,
